Ticket,Ticket Name,Company Description,Currency,Price Today,Price Today (USD),Today's Price Date,52W Low Price,52W Low Date,Return (90D) %,Price Peak (5Y),Date Peak (5Y),Bottom Price After Peak (5Y),Bottom Date After Peak (5Y),Drawdown From Peak (5Y) %,Avg Volume (30D),Volatility (90D),Hit +30% From Bottom Date,Days Bottom → Hit30,Hit +30% From 52W Low Date,Days 52W Low → Hit30,180D Low Price,180D Low Date,Spike +30% Date,Spike +30% In Last 30D,Net Income LTM,Market Cap (USD),Cash Flow Yield,Net Debt (USD),EV at Low Date (USD),P/E at Low Date,Debt Years
NXFNF,Next Fifteen Communications Group plc/ADR,"Next 15 Group plc, together with its subsidiaries, customer insight, customer delivery, customer engagement, and business transformation services in the United Kingdom, Africa, the United States, Europe, Middle East, and Africa.",USD,4.06,4.06,2025-12-30,3.6,2025-09-09,12.7,15.58,2021-10-28,3.6,2025-09-09,76.9,83,0.0614,2025-10-30,51.0,2025-10-30,51.0,3.6,2025-09-09,2025-10-30,True,24776000,436020800,0.1499,63240000,455400686,9.94,0.93
GLAXF,GSK plc,"GSK plc, together with its subsidiaries, engages in the research, development, and manufacture of vaccines, specialty medicines, and general medicines to prevent and treat disease in the United Kingdom, the United States, and internationally.",USD,24.6,24.6,2025-12-30,15.19,2025-04-09,14.6,25.38,2022-04-08,12.13,2022-09-22,52.2,1366,0.031,2022-12-01,70.0,2025-05-01,22.0,16.88,2025-04-14,2025-10-30,True,26844000000,101659967488,0.0381,14443999744,84073007436,35.17,3.08
HURN,Huron Consulting Group Inc.,Huron Consulting Group Inc. provides consultancy and managed services in the United States and internationally.,USD,175.35,175.35,2025-12-30,121.09,2025-01-06,18.8,180.66,2025-12-26,,,,130420,0.0185,,,2025-10-29,296.0,121.98,2025-08-01,2025-10-29,True,317644000,3089625600,0.0614,630725968,2741820224,20.09,3.58
CSGS,CSG SYSTEMS INTERNATIONAL INC,"CSG Systems International, Inc.",USD,76.69,76.69,2025-12-30,48.86,2025-01-10,17.9,78.44,2025-11-28,76.02,2025-12-08,3.1,425960,0.0184,,,2025-02-06,27.0,57.44,2025-04-22,2025-10-29,True,269489000,2266239488,0.0556,419816032,2081135681,23.84,2.59
NOV,NOV Inc.,"NOV Inc. designs, constructs, manufactures, and sells systems, components, and products for oil and gas drilling and production, and industrial and renewable energy sectors in the United States and internationally.",USD,15.81,15.81,2025-12-30,10.74,2025-04-08,17.3,23.2,2023-01-26,10.74,2025-04-08,53.7,3464853,0.0258,2025-07-28,111.0,2025-07-28,111.0,11.23,2025-04-30,2025-10-28,True,1533000000,6521164800,0.1467,1148000000,5459544469,11.88,1.31
RIO,RIO TINTO PLC,"Rio Tinto Group engages in exploring, mining, and processing mineral resources worldwide.",USD,80.52,80.52,2025-12-30,51.08,2025-04-08,21.5,82.24,2025-12-26,,,,2967626,0.0134,,,2025-10-06,181.0,54.57,2025-06-20,2025-10-28,True,55117000000,136802574336,0.0569,14306000896,105123145343,7.86,2.39
CTRE,"CareTrust REIT, Inc.","CareTrust REIT is a self-administered, publicly-traded real estate investment trust engaged in the ownership, acquisition, development and leasing of skilled nursing, senior housing and other healthcare-related properties located in the United Sta...",USD,36.93,36.93,2025-12-30,24.13,2025-02-21,4.8,37.76,2025-12-04,35.93,2025-12-11,4.8,1834540,0.0126,,,2025-07-31,160.0,27.46,2025-05-14,2025-10-27,True,243291000,8246480896,0.0318,181315008,6442656241,41.36,0.54
CEPU,CENTRAL PUERTO S.A.,Central Puerto S. A.,USD,17.32,17.32,2025-12-30,7.68,2025-09-19,123.2,17.95,2025-12-03,16.07,2025-12-16,10.5,308360,0.0571,,,2025-10-27,38.0,7.68,2025-09-19,2025-10-27,True,496602116000,2641582336,0.7253,218564067328,219784726240,0.01,4.64
IRS,IRSA INVESTMENTS & REPRESENTATIONS INC,"IRSA Inversiones y Representaciones Sociedad Anónima, together with its subsidiaries, engages in the diversified real estate activities in Argentina.",USD,16.68,16.68,2025-12-30,11.34,2025-10-08,44.2,17.45,2024-12-05,11.34,2025-10-08,35.0,166056,0.0439,2025-10-27,19.0,2025-10-27,19.0,11.34,2025-10-08,2025-10-27,True,442385000000,1346802560,0.3219,607399026688,608352381283,0.01,3.1
QCOM,QUALCOMM INC/DE,QUALCOMM Incorporated engages in the development and commercialization of foundational technologies for the wireless industry worldwide.,USD,173.65,173.65,2025-12-30,122.59,2025-04-08,4.8,219.83,2024-06-18,122.59,2025-04-08,44.2,8151583,0.0244,2025-07-02,85.0,2025-07-02,85.0,132.96,2025-05-01,2025-10-27,True,35851000000,196237737984,0.0597,5488000000,151379597244,16.37,0.43
IBM,INTERNATIONAL BUSINESS MACHINES CORP,"International Business Machines Corporation, together with its subsidiaries, provides integrated solutions and services in the Americas, Europe, the Middle East, Africa, and the Asia Pacific.",USD,302.05,302.05,2025-12-30,211.92,2025-01-13,6.0,314.98,2025-11-12,288.53,2025-11-19,8.4,3714176,0.0164,,,2025-06-11,149.0,225.04,2025-04-24,2025-10-24,True,20907000000,282963050496,0.0388,51713998848,266076825352,58.91,4.36
FISI,FINANCIAL INSTITUTIONS INC,"Financial Institutions, Inc. , through its subsidiaries, provides banking and financial services to consumer, commercial, and municipal customers in New York.",USD,31.35,31.35,2025-12-30,20.73,2025-04-11,16.7,32.63,2025-12-18,31.35,2025-12-30,3.9,125786,0.0186,,,2025-07-14,94.0,21.17,2025-04-14,2025-10-24,True,142888000,648606208,0.0782,13356000,453812330,,0.65
PTEN,PATTERSON UTI ENERGY INC,"Patterson-UTI Energy, Inc. , through its subsidiaries, provides drilling and completion services to oil and natural gas exploration and production companies in the United States and internationally.",USD,6.08,6.08,2025-12-30,5.11,2025-09-30,14.8,17.57,2022-05-27,5.11,2025-09-30,70.9,8087876,0.0314,2025-10-23,23.0,2025-10-23,23.0,5.11,2025-09-30,2025-10-23,False,-1221626000,2707727616,0.0932,1103550944,3098718538,,3.82
JCYCF,Jardine Cycle & Carriage Ltd.,"Jardine Cycle & Carriage Limited, an investment holding company, engages in providing the financial services, heavy equipment, mining, construction and energy, agribusiness, infrastructure and logistics, information technology, and property busine...",USD,23.25,23.25,2025-12-30,16.84,2025-04-14,8.2,23.25,2025-10-23,23.25,2025-10-23,0.0,0,0.0099,,,2025-10-23,192.0,16.84,2025-04-14,2025-10-23,True,3561600000,9567881216,0.1635,4367399936,11733639713,7.79,2.28
JCYGY,Jardine Cycle & Carriage Ltd.,"Jardine Cycle & Carriage Limited, an investment holding company, engages in providing the financial services, heavy equipment, mining, construction and energy, agribusiness, infrastructure and logistics, information technology, and property busine...",USD,51.86,51.86,2025-12-30,33.49,2025-04-10,16.0,51.86,2025-11-17,51.86,2025-11-17,0.0,10,0.0147,,,2025-08-20,132.0,34.83,2025-06-02,2025-10-23,True,3561600000,10435250176,0.1686,4367399936,11375880331,7.41,2.28
HAFC,HANMI FINANCIAL CORP,Hanmi Financial Corporation operates as the holding company for Hanmi Bank that provides business banking products and services in the United States.,USD,27.24,27.24,2025-12-30,19.74,2025-04-04,12.4,29.13,2025-12-10,27.24,2025-12-30,6.5,300950,0.0194,,,2025-07-03,90.0,20.09,2025-04-14,2025-10-22,True,342313000,840516224,0.0744,13998992,640017916,12.46,0.08
NVSEF,NOVARTIS AG,"Novartis AG researches, develops, manufactures, distributes, markets, and sells pharmaceutical medicines in Switzerland and internationally.",USD,138.44,138.44,2025-12-30,92.91,2024-12-30,10.0,138.87,2025-12-24,,,,26570,0.0269,,,2025-07-01,183.0,104.15,2025-04-14,2025-10-22,True,57767000000,267745869824,0.0471,22353999872,227245481866,21.31,1.31
PUMP,ProPetro Holding Corp.,ProPetro Holding Corp. operates as an integrated oilfield services company.,USD,9.53,9.53,2025-12-30,4.52,2025-09-09,75.5,16.23,2022-04-20,4.52,2025-09-09,72.2,2265190,0.0664,2025-10-21,42.0,2025-10-21,42.0,4.52,2025-09-09,2025-10-21,True,-104380000,960275456,0.0586,125329992,595329448,,3.26
MLAB,MESA LABORATORIES INC /CO/,"Mesa Laboratories, Inc. develops, designs, manufactures, sells, and services life sciences tools and quality control products and services in North America, Europe, the Asia Pacific, and internationally.",USD,78.6,78.6,2025-12-30,57.19,2025-08-05,11.8,325.55,2021-12-27,57.19,2025-08-05,82.4,147630,0.0275,2025-10-20,76.0,2025-10-20,76.0,57.19,2025-08-05,2025-10-20,True,-253419000,465419360,0.0697,156718008,473918855,,4.24
SENEB,Seneca Foods Corp,Seneca Foods Corporation provides packaged fruits and vegetables in the United States and internationally.,USD,109.56,109.56,2025-12-30,71.47,2025-01-16,4.8,124.94,2025-11-19,108.68,2025-12-08,13.0,140,0.0216,,,2025-05-15,119.0,86.92,2025-04-14,2025-10-09,True,159973000,752278336,0.2964,281590000,877109416,20.85,1.11
HSY,HERSHEY CO,"The Hershey Company, together with its subsidiaries, engages in the manufacture and sale of confectionery products and pantry items in the United States and internationally.",USD,182.19,182.19,2025-12-30,140.14,2025-02-04,-2.8,255.98,2023-05-01,140.14,2025-02-04,45.3,1523143,0.015,2025-07-25,171.0,2025-07-25,171.0,148.99,2025-05-21,2025-10-08,False,7205355000,37464551424,0.0461,4577403136,35256762882,20.91,2.59
GD,GENERAL DYNAMICS CORP,General Dynamics Corporation operates as an aerospace and defense company worldwide.,USD,339.47,339.47,2025-12-30,238.33,2025-02-14,0.1,353.77,2025-10-27,332.38,2025-12-01,6.0,1129860,0.0106,,,2025-07-23,159.0,263.22,2025-04-23,2025-10-06,True,13744000000,94931132416,0.0345,7355999744,79135107764,23.37,1.53
JNJ,JOHNSON & JOHNSON,"Johnson & Johnson, together with its subsidiaries, engages in the research and development, manufacture, and sale of various products in the healthcare field worldwide.",USD,206.91,206.91,2025-12-30,137.84,2025-01-10,11.9,214.17,2025-12-15,205.78,2025-12-23,3.9,9131633,0.0095,,,2025-09-29,262.0,143.15,2025-05-14,2025-10-03,True,88038000000,495712468992,0.0366,27232999424,379857432023,20.59,1.46
GSK,GSK plc,"GSK plc, together with its subsidiaries, engages in the research, development, and manufacture of vaccines, specialty medicines, and general medicines to prevent and treat disease in the United Kingdom, the United States, and internationally.",USD,49.3,49.3,2025-12-30,30.76,2025-01-14,9.3,49.3,2025-12-30,,,,3706820,0.015,,,2025-05-30,136.0,34.2,2025-04-14,2025-10-01,True,26844000000,101496930304,0.0374,14443999744,85746496100,36.01,3.08
TDY,TELEDYNE TECHNOLOGIES INC,"Teledyne Technologies Incorporated provides enabling technologies for industrial growth markets in the United States, Europe, Asia, and internationally.",USD,518.0,518.0,2025-12-30,435.54,2025-04-08,-9.9,593.62,2025-10-06,484.47,2025-11-20,18.4,336823,0.0136,,,2025-09-22,167.0,448.52,2025-04-23,2025-09-30,False,2938800000,25771866112,0.0328,2004800064,23063256237,32.44,1.93
UHS,UNIVERSAL HEALTH SERVICES INC,"Universal Health Services, Inc.",USD,225.06,225.06,2025-12-30,154.65,2025-07-28,10.7,243.98,2025-11-26,222.6,2025-12-12,8.8,720230,0.0147,,,2025-09-30,64.0,154.65,2025-07-28,2025-09-30,True,3527091000,13436673024,0.0607,4998026216,14858841192,7.82,5.26
FCFS,"FirstCash Holdings, Inc.","FirstCash Holdings, Inc. , together with its subsidiaries, operates retail pawn stores in the United States, Mexico, and rest of Latin America.",USD,161.23,161.23,2025-12-30,101.38,2025-01-02,6.5,164.6,2025-12-15,160.77,2025-12-17,2.3,237150,0.0186,,,2025-04-29,117.0,119.03,2025-04-16,2025-09-30,True,856520000,7332132352,0.0514,2449202944,7775612750,22.96,4.64
NUTX,"Nutex Health, Inc.",Nutex Health Inc. operates as a healthcare services and operations company in the United States.,USD,182.23,182.23,2025-12-30,30.76,2025-01-13,74.5,6000.0,2022-04-04,4.34,2024-07-09,99.9,203406,0.0684,2024-07-15,6.0,2025-01-23,10.0,80.92,2025-09-02,2025-09-29,True,-285877692,1279309568,0.1088,192552992,764812422,10.14,1.09
RTNTF,RIO TINTO LTD,"Rio Tinto Group engages in exploring, mining, and processing mineral resources worldwide.",USD,98.9,98.9,2025-12-30,62.05,2025-06-23,22.1,100.88,2025-12-26,,,,380,0.0206,,,2025-09-29,98.0,62.05,2025-06-23,2025-09-29,True,55096000000,167683227648,0.0496,14306000896,120448304024,9.19,2.39
FOX,Fox Corp,"Fox Corporation operates as a news, sports, and entertainment company in the United States.",USD,65.39,65.39,2025-12-30,43.59,2025-04-08,16.9,65.42,2025-12-26,,,,1485093,0.0149,,,2025-09-08,153.0,43.73,2025-04-21,2025-09-29,True,6208000000,31810152448,0.0672,3084000256,23780612286,13.39,1.16
EA,ELECTRONIC ARTS INC.,"Electronic Arts Inc. develops, markets, publishes, and delivers games, content, and services for game consoles, PCs, and mobile phones worldwide.",USD,204.35,204.35,2025-12-30,115.97,2025-01-28,1.4,204.79,2025-12-26,,,,2027266,0.0019,,,2025-05-05,97.0,141.46,2025-04-21,2025-09-26,True,3985000000,51076673536,0.0495,939000064,36436561121,42.21,0.57
HAL,HALLIBURTON CO,Halliburton Company provides products and services to the energy industry worldwide.,USD,28.49,28.49,2025-12-30,18.84,2025-04-08,15.1,40.96,2023-10-19,18.84,2025-04-08,54.0,9944920,0.0236,2025-09-25,170.0,2025-09-25,170.0,18.93,2025-05-07,2025-09-26,True,8168000000,27428208640,0.0697,6541000064,23047377298,11.88,3.49
HTHT,H World Group Ltd,"H World Group Limited develops leased and owned, manachised, and franchised hotels in the People's Republic of China.",USD,46.98,46.98,2025-12-30,28.81,2025-01-13,19.6,55.54,2021-02-12,19.99,2022-03-14,64.0,1401283,0.0164,2022-03-16,2.0,2025-09-17,247.0,29.83,2025-08-05,2025-09-24,True,4847000000,15669537792,0.2035,24005001216,33382725281,2.49,3.53
IDKOY,"IDEMITSU KOSAN CO., LTD","Idemitsu Kosan Co. ,Ltd.",USD,15.25,15.25,2025-12-30,10.73,2025-04-07,8.9,16.56,2025-03-21,10.73,2025-04-07,35.2,546,0.0252,2025-08-07,122.0,2025-08-07,122.0,11.01,2025-05-28,2025-09-24,True,865717000000,9025570816,0.3439,1102676049920,1109417674158,0.06,2.89
NVO,NOVO NORDISK A S,"Novo Nordisk A/S, together with its subsidiaries, engages in the research and development, manufacture, and distribution of pharmaceutical products in Europe, the Middle East, Africa, Mainland China, Hong Kong, Taiwan, North America, and internati...",USD,51.22,51.22,2025-12-30,44.87,2025-08-06,-13.4,142.44,2024-06-25,44.87,2025-08-06,68.5,18589906,0.0238,2025-09-18,43.0,2025-09-18,43.0,44.87,2025-08-06,2025-09-18,False,287953000000,254789124096,0.2279,68631003136,270276100377,1.82,1.13
SNEJF,Sony Group Corp,"Sony Group Corporation designs, develops, produces, and sells electronic equipment, instruments, and devices for the consumer, professional, and industrial markets in Japan, the United States, Europe, China, the Asia-Pacific, and internationally.",USD,25.65,25.65,2025-12-30,19.06,2025-01-13,-14.1,32.31,2025-09-18,25.41,2025-12-19,21.4,83276,0.0336,,,2025-02-21,39.0,23.37,2025-04-16,2025-09-18,True,3999628000000,150040592384,8.1714,105647964160,245320390044,0.15,0.06
SU,SUNCOR ENERGY INC,"Suncor Energy Inc. operates as an integrated energy company in Canada, the United States, and internationally.",USD,44.5,44.5,2025-12-30,31.19,2025-04-08,7.9,45.2,2025-11-18,42.22,2025-12-16,6.6,4214393,0.0125,,,2025-06-13,66.0,32.92,2025-04-15,2025-09-16,True,27507000000,55716319232,0.139,11507999744,52032277723,8.95,1.43
SCCO,SOUTHERN COPPER CORP/,"Southern Copper Corporation engages in mining, exploring, smelting, and refining copper and other minerals in Peru, Mexico, Argentina, Ecuador, and Chile.",USD,145.48,145.48,2025-12-30,71.98,2025-04-08,20.4,149.52,2025-12-26,,,,1139343,0.0243,,,2025-06-09,62.0,82.03,2025-04-16,2025-09-15,True,11837600000,131505782784,0.038,2907300352,71632866589,26.07,0.84
AXIA-P,BRAZILIAN ELECTRIC POWER CO,"AXIA Energia SA, through its subsidiaries, engages in the generation, transmission, and commercialization of electricity in Brazil.",USD,9.42,9.42,2025-12-30,4.39,2024-12-30,18.5,10.4,2025-12-04,7.39,2025-12-24,28.9,43809,0.0532,,,2025-03-19,79.0,5.27,2025-07-31,2025-09-15,True,24209414000,26696396800,0.1909,50672275456,70317809377,2.96,3.68
FRFXF,FAIRFAX FINANCIAL HOLDINGS LTD/ CAN,"Fairfax Financial Holdings Limited, through its subsidiaries, provides property and casualty insurance and reinsurance, and investment management services in the United States, Canada, the Middle East, Asia, and internationally.",USD,18.72,18.72,2025-12-30,13.41,2025-03-11,5.6,18.72,2025-12-29,,,,2954,0.0057,,,2025-08-22,164.0,13.48,2025-06-02,2025-09-15,True,15032000000,20806717440,0.9273,2403699712,2786938512,0.12,0.62
CPAC,CEMENTOS PACASMAYO SAA,Cementos Pacasmayo S. A.,USD,10.56,10.56,2025-12-30,5.1,2025-04-11,52.6,10.64,2025-12-16,10.21,2025-12-23,4.0,145366,0.0567,,,2025-08-29,140.0,5.32,2025-04-14,2025-09-15,True,697773000,887893568,0.1314,1247312032,1702817730,2.76,4.57
DHT,"DHT Holdings, Inc.","DHT Holdings, Inc. , through its subsidiaries, owns and operates crude oil tankers primarily in Monaco, Singapore, Norway, and India.",USD,12.14,12.14,2025-12-30,8.92,2024-12-30,2.4,13.73,2025-11-21,12.1,2025-12-23,11.9,1533453,0.0154,,,2025-05-16,137.0,9.75,2025-04-15,2025-09-15,True,392729000,2159536128,0.0777,192913008,1781611177,11.83,1.27
GOLD,"Gold.com, Inc.","Gold. com, Inc.",USD,33.45,33.45,2025-12-30,19.4,2025-05-30,27.1,45.19,2024-09-13,19.4,2025-05-30,57.1,551580,0.0276,2025-09-12,105.0,2025-09-12,105.0,19.4,2025-05-30,2025-09-12,True,374762000,938211840,0.0681,666366008,1152599752,69.5,1.44
DRRKF,dormakaba Holding AG,dormakaba Holding AG provides access and security solutions worldwide.,USD,79.3,79.3,2025-12-30,68.28,2025-01-28,-13.9,97.25,2025-09-11,79.3,2025-12-29,18.5,43,0.0201,,,2025-09-11,226.0,68.28,2025-04-14,2025-09-11,True,205100000,3297760000,0.0489,351300000,3219384357,29.3,2.23
TELNY,TELENOR ASA,"Telenor ASA, together with its subsidiaries, operates as a telecommunication company worldwide.",USD,14.59,14.59,2025-12-30,10.52,2024-12-31,-10.4,16.86,2025-09-12,13.83,2025-11-19,18.0,38630,0.0136,,,2025-04-01,91.0,12.96,2025-04-15,2025-09-11,False,78511000000,19833034752,0.1664,88971999232,107738152691,1.93,5.2
CLB,Core Laboratories Inc. /DE/,"Core Laboratories Inc. provides reservoir description and production enhancement services and products to the oil and gas industry in the United States, and internationally.",USD,16.12,16.12,2025-12-30,9.73,2025-08-11,28.2,47.85,2021-06-10,9.73,2025-08-11,79.7,384983,0.044,2025-09-09,29.0,2025-09-09,29.0,9.73,2025-08-11,2025-09-09,True,107255000,885355648,0.0657,141473000,598219010,15.41,4.11
GEHC,GE HealthCare Technologies Inc.,GE HealthCare Technologies Inc.,USD,83.33,83.33,2025-12-30,58.67,2025-04-08,10.4,93.65,2024-09-30,58.67,2025-04-08,37.4,3596000,0.0173,2025-07-10,93.0,2025-07-10,93.0,60.39,2025-04-21,2025-09-09,True,7724000000,40250511360,0.0453,6739000576,34351872365,15.72,4.81
EZPW,EZCORP INC,"EZCORP, Inc. provides pawn services in the United States, Mexixo, and Latin America.",USD,19.69,19.69,2025-12-30,11.82,2025-01-10,8.6,21.04,2025-12-10,19.22,2025-12-19,8.7,1147603,0.0184,,,2025-04-01,81.0,13.02,2025-06-05,2025-09-08,True,281331000,1306830976,0.0674,295732000,1088599732,11.07,2.68
GHC,Graham Holdings Co,"Graham Holdings Company, through its subsidiaries, operates as a diversified holding company in the United States and internationally.",USD,1092.93,1092.93,2025-12-30,847.71,2025-01-10,-4.9,1182.59,2025-09-26,948.67,2025-10-13,19.8,20943,0.0208,,,2025-09-04,237.0,873.17,2025-04-21,2025-09-08,False,1349076000,4967316480,0.0869,100787968,3924713462,5.93,0.28
HCA,"HCA Healthcare, Inc.","HCA Healthcare, Inc. , through its subsidiaries, owns and operates hospitals and related healthcare entities in the United States.",USD,473.26,473.26,2025-12-30,294.49,2025-01-03,11.2,515.08,2025-11-25,466.56,2025-12-18,9.4,1315296,0.0154,,,2025-05-15,132.0,315.96,2025-04-21,2025-09-05,True,23601000000,112087564288,0.0356,45258000640,119576672747,17.21,5.59
ENS,EnerSys,EnerSys engages in the provision of stored energy solutions for industrial applications worldwide.,USD,148.34,148.34,2025-12-30,77.98,2025-04-08,29.2,150.99,2025-12-26,,,,470740,0.0187,,,2025-08-22,136.0,79.34,2025-04-21,2025-09-05,True,952552000,5883806208,0.0432,824895040,3818128055,10.19,2.52
AXIA,BRAZILIAN ELECTRIC POWER CO,"AXIA Energia SA, through its subsidiaries, engages in the generation, transmission, and commercialization of electricity in Brazil.",USD,9.17,9.17,2025-12-30,4.02,2025-01-03,20.2,9.88,2025-12-04,7.01,2025-12-22,29.1,2427652,0.0498,2025-12-30,8.0,2025-03-19,75.0,4.98,2025-07-28,2025-09-05,True,24209414000,28022822912,0.1904,50672275456,70499745429,2.99,3.68
TMHC,Taylor Morrison Home Corp,"Taylor Morrison Home Corporation, together with its subsidiaries, operates as a land developer and homebuilder in the United States.",USD,59.14,59.14,2025-12-30,53.93,2025-04-08,-11.9,74.8,2024-11-25,53.93,2025-04-08,27.9,954920,0.0169,2025-09-05,150.0,2025-09-05,150.0,54.91,2025-04-16,2025-09-05,False,3368064000,5934841856,0.086,1893218016,7259299783,7.59,3.32
FOXA,Fox Corp,"Fox Corporation operates as a news, sports, and entertainment company in the United States.",USD,73.7,73.7,2025-12-30,46.99,2025-04-21,19.1,74.3,2025-12-26,,,,3377196,0.0148,,,2025-09-05,137.0,46.99,2025-04-21,2025-09-05,True,6208000000,33602025472,0.0665,3084000256,24042535708,13.56,1.16
BBY,BEST BUY CO INC,"Best Buy Co. , Inc.",USD,67.83,67.83,2025-12-30,53.98,2025-04-08,-11.1,113.58,2021-11-22,53.84,2022-10-20,52.6,4658746,0.0216,2022-11-23,34.0,2025-05-12,34.0,57.31,2025-04-16,2025-09-04,True,6041000000,15087371264,0.0585,3015000064,15543338780,32.12,1.99
TRMK,TRUSTMARK CORP,Trustmark Corporation operates as the bank holding company for Trustmark National Bank that provides banking and other financial solutions to individuals and corporate institutions in the United States.,USD,39.27,39.27,2025-12-30,30.21,2025-04-08,1.1,41.01,2025-12-18,39.27,2025-12-30,4.2,292026,0.0167,,,2025-08-22,136.0,31.09,2025-04-14,2025-09-04,True,607750000,2444242688,0.1094,120545024,2033561755,11.86,0.45
AMCX,AMC Networks Inc.,"AMC Networks Inc. , an entertainment company, distributes contents in the United States, Europe, and internationally.",USD,9.73,9.73,2025-12-30,5.55,2025-04-08,17.7,78.63,2021-03-12,5.55,2025-04-08,92.9,424206,0.0255,2025-08-13,127.0,2025-08-13,127.0,5.63,2025-08-01,2025-09-04,True,247108000,382165024,0.1847,1278523008,1523578722,,4.74
STC,STEWART INFORMATION SERVICES CORP,"Stewart Information Services Corporation, through its subsidiaries, provides title insurance and real estate transaction related services in the United States and internationally.",USD,70.27,70.27,2025-12-30,56.06,2025-07-15,-2.8,76.62,2025-11-25,70.27,2025-12-30,8.3,231690,0.0187,,,2025-09-04,51.0,56.06,2025-07-15,2025-09-04,True,589270000,2058757248,0.0579,345742016,2063739358,19.56,2.75
ASR,SOUTHEAST AIRPORT GROUP,"Grupo Aeroportuario del Sureste, S.",USD,324.02,324.02,2025-12-30,234.45,2025-04-08,3.3,346.48,2025-09-11,296.09,2025-11-20,14.5,51630,0.012,,,2025-05-07,29.0,255.49,2025-04-15,2025-09-02,False,39725437000,9948072960,0.3515,5003463680,13330132762,1.23,1.07
JAMF,Jamf Holding Corp.,"Jamf Holding Corp. provides management and security solutions for Apple platforms in the Americas, Europe, the Middle East, India, Africa, and the Asia Pacific.",USD,13.0,13.0,2025-12-30,7.14,2025-08-05,25.7,48.66,2021-11-09,7.14,2025-08-05,85.3,2027350,0.0223,2025-08-29,24.0,2025-08-29,24.0,7.14,2025-08-05,2025-08-29,True,-395031000,1746838656,0.0537,242716992,1199925580,,2.2
UNH,UNITEDHEALTH GROUP INC,UnitedHealth Group Incorporated operates as a health care company in the United States and internationally.,USD,332.16,332.16,2025-12-30,234.7,2025-08-01,-4.0,607.89,2024-11-11,234.7,2025-08-01,61.4,6528490,0.0167,2025-08-29,28.0,2025-08-29,28.0,234.7,2025-08-01,2025-08-29,True,74191000000,314190135296,0.0954,49522003968,264903256516,10.11,2.85
JAZZ,Jazz Pharmaceuticals plc,"Jazz Pharmaceuticals plc identifies, develops, and commercializes pharmaceutical products in the United States, Europe, and internationally.",USD,170.82,170.82,2025-12-30,97.78,2025-05-09,24.8,186.42,2021-06-14,97.78,2025-05-09,47.5,1358386,0.0286,2025-08-29,112.0,2025-08-29,112.0,97.78,2025-05-09,2025-08-29,True,421224000,9737610240,0.1248,3382889856,9324502824,18.94,2.73
UGP,ULTRAPAR HOLDINGS INC,Ultrapar Participações S. A.,USD,3.8,3.8,2025-12-30,2.49,2025-01-03,-4.0,6.01,2024-02-21,2.49,2025-01-03,58.6,1730066,0.0242,2025-06-30,178.0,2025-06-30,178.0,2.83,2025-06-02,2025-08-28,True,7453837000,4135895296,0.0874,14472516352,17496956577,1.66,4.41
BUSE,FIRST BUSEY CORP /NV/,"First Busey Corporation operates as the bank holding company for Busey Bank that engages in the provision of retail and commercial banking products and services to individual, corporate, institutional, and governmental customers in the United States.",USD,24.02,24.02,2025-12-30,18.56,2025-04-07,5.2,26.92,2024-07-26,18.56,2025-04-07,31.0,450386,0.0165,2025-08-26,141.0,2025-08-26,141.0,18.78,2025-04-14,2025-08-28,True,488016000,2169558016,0.0646,78220992,1795124633,57.0,0.5
AMTB,Amerant Bancorp Inc.,"Amerant Bancorp Inc. operates as the bank holding company for Amerant Bank, N.",USD,19.78,19.78,2025-12-30,16.42,2025-06-18,3.5,33.64,2022-02-01,15.42,2023-05-02,54.1,245083,0.0211,2023-11-14,196.0,2025-08-28,71.0,16.42,2025-06-18,2025-08-28,False,192969000,880014592,0.0965,290524992,992673266,,1.67
TMP,TOMPKINS FINANCIAL CORP,"Tompkins Financial Corporation, a financial holding company, provides commercial and consumer banking, leasing, trust and investment management, financial planning and wealth management, and insurance services.",USD,72.74,72.74,2025-12-30,54.02,2025-04-21,12.4,77.68,2021-03-12,40.53,2024-04-17,47.8,61023,0.0179,2024-07-16,90.0,2025-08-27,128.0,54.02,2025-04-21,2025-08-27,True,254649000,1083423872,0.0541,332473008,1135730918,13.86,3.51
FMBH,"FIRST MID BANCSHARES, INC.","First Mid Bancshares, Inc. , a financial holding company, provides community banking products and services to commercial, retail, and agricultural customers in the United States.",USD,39.41,39.41,2025-12-30,30.4,2025-04-08,6.1,42.29,2025-12-15,39.41,2025-12-30,6.8,88713,0.0165,,,2025-08-22,136.0,30.74,2025-04-14,2025-08-26,True,272275000,962426560,0.1108,285308992,1037823554,12.37,2.36
EFSC,ENTERPRISE FINANCIAL SERVICES CORP,"Enterprise Financial Services Corp operates as the financial holding company for Enterprise Bank & Trust that offers banking and wealth management services to individuals and corporate customers in Arizona, California, Florida, Kansas, Missouri, N...",USD,54.79,54.79,2025-12-30,45.44,2025-04-11,-3.8,61.02,2025-08-27,51.7,2025-11-17,15.3,176690,0.0163,,,2025-08-22,133.0,46.12,2025-04-14,2025-08-26,False,715423000,2067429376,0.0902,192041984,1927483484,11.62,1.0
